,stage,discharge,median,gse
0,0.67,0.01276578773819519,0.012765474574473877,1.0108910035965772
1,0.68,0.017685228139546264,0.017681977181752014,1.0107923862183776
2,0.6900000000000001,0.024791623095982727,0.02479150408091419,1.011040970716442
3,0.7000000000000001,0.033899412059509845,0.03389407918878642,1.0108679198469317
4,0.7100000000000001,0.04544906752386317,0.045446674964507675,1.0107826444082653
5,0.7200000000000001,0.059919709675305306,0.0599111313857749,1.010722314144486
6,0.7300000000000001,0.0779058853070134,0.07789910710240666,1.0109124251043957
7,0.7400000000000001,0.10002973636696737,0.1000200627857221,1.0109406185593053
8,0.7500000000000001,0.1270915394572931,0.12710687811706334,1.010866584543709
9,0.7600000000000001,0.15992158513422985,0.15992417845764895,1.0108557612519364
10,0.7700000000000001,0.19960174115787369,0.1996047817024236,1.010921476105316
11,0.7800000000000001,0.24725364958532758,0.24726077979123173,1.0108561607394473
12,0.7900000000000001,0.3041716274885244,0.30415646460993895,1.010920267995509
13,0.8000000000000002,0.37188133797772965,0.3718544681682756,1.0109819041488688
14,0.8100000000000002,0.4522103813715192,0.45218873784604435,1.0109523771376574
15,0.8200000000000002,0.5469429790064433,0.5468970617961713,1.010861169929862
16,0.8300000000000002,0.6582624500843575,0.6581232786228497,1.0110146608079955
17,0.8400000000000002,0.7888913965990145,0.7888544878332775,1.0109256437011518
18,0.8500000000000002,0.9414299744035878,0.9413440929839092,1.0111893338086464
19,0.8600000000000002,1.1190260171316857,1.1188202986757165,1.010998497818138
20,0.8700000000000002,1.3252000616668653,1.3251145650560945,1.010895847752383
21,0.8800000000000002,1.5644404118780988,1.564508548659028,1.0108759611462086
22,0.8900000000000002,1.8410021516701192,1.8407004711185748,1.0109743962855384
23,0.9000000000000002,2.1588559040631763,2.158860486449031,1.0108267395507455
24,0.9100000000000003,2.5257658897135453,2.5257358015701588,1.0109757311511798
25,0.9200000000000003,2.945251085566858,2.9448781918625375,1.010976635009267
26,0.9300000000000003,3.4265962297626147,3.4259185334200666,1.011026588451343
27,0.9400000000000003,3.9768059384906658,3.976604305610977,1.0110335355581184
28,0.9500000000000003,4.603403709424586,4.6023060583789634,1.0112112551029178
