y, x
40.4928,-79.9043
40.5213,-79.8699
40.5351,-79.8708
40.6405,-79.9506
40.5569,-80.0366
40.4888,-80.0005
40.4928,-79.8941
40.6763,-79.9771
40.5625,-79.9375

